case_folder,tariff_type,case,ev_charge_max_kw,offset_max_hours,n_dwelling_files,n_runs,step_hours,n_runs_seen_raw_sum_over_dwellings,n_infeasible_runs_raw_sum_over_dwellings,n_infeasible_runs_replaced_sum_over_dwellings,n_dwellings_with_no_feasible_runs,mean_aggregated_hp_electricity_kwh,mean_aggregated_ev_electricity_kwh,mean_aggregated_baseload_electricity_kwh,mean_aggregated_electricity_kwh,mean_aggregated_gas_kwh,peak_extreme_demand_kw,peak_mean_demand_kw,peak_extreme_demand_ci95_low_kw,peak_extreme_demand_ci95_high_kw,peak_mean_demand_ci95_low_kw,peak_mean_demand_ci95_high_kw,total_hp_electricity_cost_gbp_unoffset_tariff,total_hp_electricity_cost_ci95_low_gbp,total_hp_electricity_cost_ci95_high_gbp,total_ev_electricity_cost_gbp_unoffset_tariff,total_ev_electricity_cost_ci95_low_gbp,total_ev_electricity_cost_ci95_high_gbp,total_baseload_electricity_cost_gbp_unoffset_tariff,total_baseload_electricity_cost_ci95_low_gbp,total_baseload_electricity_cost_ci95_high_gbp,total_electricity_cost_gbp_unoffset_tariff,total_gas_cost_gbp_unoffset_tariff,total_gas_cost_ci95_low_gbp,total_gas_cost_ci95_high_gbp,total_energy_cost_gbp_unoffset_tariff,total_energy_cost_ci95_low_gbp,total_energy_cost_ci95_high_gbp,ci95_bootstrap_samples
agile_monovalent_EV_5kW_offset0p5h,agile,monovalent,5.0,0.5,147,10,0.5,1470,22,22,0,27127.435781442196,7052.449378369999,9739.520448069445,43919.405607881636,0.0,1114.2406009907208,1063.6702405036785,1114.2406009907208,1114.2406009907208,1028.3220103935405,1105.4497088648986,3069.0142034805676,3060.1049192783544,3081.452481201321,671.106189600604,644.1926531518435,694.7716076367724,1622.1789125758974,1577.9645553532876,1667.3739735872766,5362.299305657069,0.0,0.0,0.0,5362.29930565707,5305.748412013096,5412.577864131758,100
agile_monovalent_EV_5kW_offset1p0h,agile,monovalent,5.0,1.0,147,10,0.5,1470,22,22,0,27112.210261065768,7048.4072104103625,9742.584838349536,43903.20230982567,0.0,961.7878726007033,921.2053916982107,961.7878726007033,961.7878726007033,885.2076778565624,956.7090841027359,3143.5874197372837,3130.5779569303477,3157.0141627594016,676.6726538593398,658.2677487262031,695.1567749035486,1623.03674915833,1567.284231783263,1677.1387936366,5443.296822754954,0.0,0.0,0.0,5443.296822754953,5393.0605407741805,5490.570427685646,100
agile_monovalent_EV_5kW_offset2p0h,agile,monovalent,5.0,2.0,147,10,0.5,1470,22,22,0,27073.322628536756,7051.105954082258,9754.996629016203,43879.42521163522,0.0,782.7050709975226,736.7816655861554,782.7050709975226,782.7050709975226,711.6993467640212,769.6596244657208,3305.3932020281627,3287.2510665178243,3326.286713657882,705.3173101908261,686.6520935770676,731.8754657187226,1622.883796713213,1568.8763500981222,1666.169557514656,5633.594308932203,0.0,0.0,0.0,5633.594308932201,5579.462223275283,5673.271488893151,100
agile_monovalent_EV_5kW_offset3p0h,agile,monovalent,5.0,3.0,147,10,0.5,1470,22,22,0,27013.842815219003,7069.17347795527,9758.729708185183,43841.74600135946,0.0,770.8419785038351,708.1185804361637,770.8419785038351,770.8419785038351,674.2929915650838,756.8693186345114,3445.081157396749,3425.6864516827195,3463.5742623724523,733.5070473345182,710.8106653245788,759.6846494848077,1625.7773776110148,1574.9972077878645,1667.368688639097,5804.365582342283,0.0,0.0,0.0,5804.365582342283,5759.108246656628,5848.265979204397,100
agile_monovalent_EV_5kW_offset4p0h,agile,monovalent,5.0,4.0,147,10,0.5,1470,22,22,0,26954.184921537424,7062.274804574751,9755.759521291666,43772.21924740384,0.0,722.4158336658395,669.4288340511953,722.4158336658395,722.4158336658395,640.9432278486636,715.9389453593519,3532.8155774140205,3512.5990523692517,3552.833477696473,750.6776012462497,730.935583136221,774.9784523375992,1625.0035412268358,1576.6487149192062,1675.2600250598914,5908.496719887106,0.0,0.0,0.0,5908.496719887107,5850.6369318428415,5959.423994727272,100
agile_monovalent_EV_5kW_offset5p0h,agile,monovalent,5.0,5.0,147,10,0.5,1470,22,22,0,26912.569154092387,7044.199973425664,9766.428234023148,43723.1973615412,0.0,684.2915725518926,628.9108706616981,684.2915725518926,684.2915725518926,594.0626016606012,675.1677945876107,3593.4103180679244,3571.338413602744,3617.5351191090017,763.3970556426569,742.113276382023,785.3518723114319,1626.0537020210145,1575.1214694888847,1676.8809913789255,5982.861075731595,0.0,0.0,0.0,5982.861075731596,5922.75986844923,6038.903178793167,100
agile_monovalent_EV_5kW_offset6p0h,agile,monovalent,5.0,6.0,147,10,0.5,1470,22,22,0,26863.573684421703,7039.910635977649,9753.65884803472,43657.14316843407,0.0,670.6952736858543,595.926199339071,670.6952736858543,670.6952736858543,555.6516758545208,646.5196167216384,3632.389915900978,3606.3569351135234,3659.7431614854854,775.9705586750913,752.213606565806,797.5019045382828,1625.3139238895574,1583.9992911854024,1662.291445633496,6033.674398465627,0.0,0.0,0.0,6033.674398465626,5984.999094535465,6089.951405665624,100
agile_monovalent_EV_5kW_offset7p0h,agile,monovalent,5.0,7.0,147,10,0.5,1470,22,22,0,26829.051532972935,7023.242417378431,9789.458865930555,43641.75281628192,0.0,634.9752629869065,579.0136255162543,634.9752629869065,634.9752629869065,546.5816217396648,613.1796222054293,3652.9266680283786,3629.336659508042,3674.8761837601464,792.3433766372566,766.0153618716712,823.1599839255206,1629.6914331760436,1580.5400049667671,1677.1383804605007,6074.961477841679,0.0,0.0,0.0,6074.961477841678,6012.835035582253,6127.7717057085865,100
agile_monovalent_EV_5kW_offset8p0h,agile,monovalent,5.0,8.0,147,10,0.5,1470,22,22,0,26804.228851529195,7054.03830820876,9756.18730829861,43614.454468036565,0.0,679.0943254642011,613.2361066997557,679.0943254642011,679.0943254642011,575.9156542713586,652.0709473352781,3654.397245137808,3631.7204835601915,3682.540677957905,810.412314926921,778.3342108680025,833.2212695896645,1625.0756196093716,1580.9962198606331,1681.1215776899974,6089.885179674102,0.0,0.0,0.0,6089.885179674102,6031.4006645666905,6151.508921715684,100
agile_monovalent_EV_5kW_offset9p0h,agile,monovalent,5.0,9.0,147,10,0.5,1470,22,22,0,26794.636298275625,7044.953258681398,9709.939905145833,43549.52946210286,0.0,672.5658697718518,629.312477278538,672.5658697718518,672.5658697718518,593.1012928728378,664.0227705923236,3646.64351612463,3625.3390064376485,3668.475825235539,817.7638602972365,791.7986239714802,845.3033098287875,1617.4978832463285,1564.4253943132742,1675.2965557237874,6081.905259668195,0.0,0.0,0.0,6081.905259668196,6022.3786659827365,6142.197790662915,100
