run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
114,8.92332380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_114.csv,7.548260275435122
115,7.256590476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_115.csv,7.545724016311255
116,8.194457142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_116.csv,7.551316543264237
117,6.655757142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_117.csv,7.543662189414603
118,9.673257142857144,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_118.csv,7.561709604274286
119,8.586857142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_119.csv,7.570324289472461
120,8.151190476190475,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_120.csv,7.575164841028444
121,6.49152380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_121.csv,7.566209130024275
122,8.151190476190475,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_122.csv,7.57100405909121
123,7.888390476190477,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_123.csv,7.5735844364660005
124,6.41482380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_124.csv,7.564239592700338
125,7.404290476190476,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_125.csv,7.562959999768259
126,6.5495238095238095,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_126.csv,7.55491685540124
127,6.43242380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_127.csv,7.546078327480945
128,6.535923809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_128.csv,7.538186495309405
129,7.348857142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_129.csv,7.53671882591055
130,6.750457142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_130.csv,7.530670659117831
131,7.3697904761904764,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_131.csv,7.529442566118386
132,6.485157142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_132.csv,7.521531312911861
133,7.137757142857143,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_133.csv,7.518645792836262
134,7.256123809523809,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_134.csv,7.516686673557811
135,7.39162380952381,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_135.csv,7.515760281972374
136,9.673257142857144,Dwelling 55,elec_kw_dwelling_55,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_136.csv,7.53162422947888
