run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
119,762.2687211747975,791.5656305398082,825.6025664980281,5000,42
120,762.2750469979966,791.5668622183292,825.6077162166144,5000,42
121,762.2711952358467,791.5650615768486,825.6147166195119,5000,42
122,762.2489931145565,791.5678952230937,825.6225550243898,5000,42
123,762.2309054940986,791.5661720869617,825.6313609111886,5000,42
124,762.2227794498286,791.5671573667887,825.6406256643464,5000,42
125,762.2018550877555,791.5661437210632,825.6456166075369,5000,42
126,762.1892831333038,791.566360027266,825.6602387352556,5000,42
127,762.1782669198539,791.5643420826109,825.6751408931348,5000,42
128,762.1622612479097,791.5653688646137,825.6795029305856,5000,42
129,762.1439882358849,791.5632625642622,825.6903562214238,5000,42
130,762.1209189375704,791.5619057868639,825.6955049778885,5000,42
131,762.109077268115,791.5654346288775,825.7064749595962,5000,42
132,762.0941417141482,791.563094015646,825.7085794585166,5000,42
133,762.0805728867059,791.5591737878192,825.7179255051369,5000,42
134,762.0713437060432,791.5595913181713,825.7284060853973,5000,42
135,762.0685583696038,791.5595032548285,825.7400388142399,5000,42
136,762.0605414027805,791.5584646614444,825.7518826571968,5000,42
137,762.0500666953752,791.560151537924,825.767953707008,5000,42
138,762.037459247717,791.557043091002,825.7727034577396,5000,42
139,762.0252657649169,791.5566434690147,825.7758813318111,5000,42
140,762.0248326380982,791.5570440565031,825.7937438501991,5000,42
141,762.0131750931239,791.5600416370777,825.8095723338602,5000,42
142,762.007235227751,791.5592722817097,825.8092774588007,5000,42
143,762.0132293124578,791.5599875693542,825.8157637661756,5000,42
144,762.0130197430161,791.5628016028722,825.8215800384864,5000,42
145,762.0018414889205,791.560781529244,825.8257706900837,5000,42
146,761.9951089551583,791.5610631055986,825.8303881200112,5000,42
147,761.992955422204,791.5606899034531,825.8353948985457,5000,42
148,761.9842637226918,791.5604269904534,825.8401453358775,5000,42
149,761.9760431450809,791.561773198908,825.8394101502478,5000,42
150,761.9604971788585,791.5608242379292,825.8434084800127,5000,42
151,761.957790201577,791.5606623168002,825.8502378310973,5000,42
152,761.9538424318464,791.5599943374061,825.8507427213883,5000,42
153,761.9548318683454,791.5608312904172,825.8527612754798,5000,42
154,761.9542826591047,791.5607059140443,825.86034435262,5000,42
155,761.9556272112658,791.5613382644589,825.8632698754843,5000,42
156,761.958143885023,791.5591812934999,825.8637344139835,5000,42
157,761.9533482986253,791.5560403477897,825.8640982672034,5000,42
158,761.9578281974202,791.5567892071774,825.8696508372825,5000,42
159,761.9731485569773,791.5569370492909,825.8733213347887,5000,42
160,761.9739576988195,791.5577488002666,825.8837631503862,5000,42
161,761.9702369555389,791.5580409714254,825.8820335623408,5000,42
162,761.960653656019,791.5577956551514,825.8883829765491,5000,42
163,761.9495329034248,791.5580747924147,825.8910329729806,5000,42
164,761.9452975812283,791.5590839557608,825.8993388452094,5000,42
165,761.9356945757836,791.5569332699315,825.8977786715653,5000,42
166,761.9268455286928,791.5576684012708,825.9044917534428,5000,42
167,761.9068204806309,791.5563766066682,825.9131495521115,5000,42
168,761.9009963752616,791.5566124998605,825.9175870636366,5000,42
169,761.8946710132623,791.558305125903,825.9259939366731,5000,42
170,761.896207180536,791.559349701385,825.9312997384413,5000,42
171,761.8945044206101,791.5592770551955,825.929655168758,5000,42
172,761.8796920064923,791.5587861706429,825.9335362174724,5000,42
173,761.8672876522113,791.5587439694697,825.9325191333186,5000,42
174,761.8654221228197,791.5581016519097,825.9392879361598,5000,42
175,761.8582180805256,791.5574917776371,825.9487965853683,5000,42
176,761.8570154335268,791.5601204752396,825.95252746147,5000,42
177,761.8551642202386,791.5596025695554,825.9592768642999,5000,42
178,761.8484954642288,791.5579182531479,825.9627240200423,5000,42
179,761.8384724018449,791.558666898672,825.9666094732383,5000,42
180,761.8371535462652,791.5582961634708,825.9686715103677,5000,42
181,761.8343585044147,791.5591800505764,825.975700908212,5000,42
182,761.8251848555781,791.5580987083283,825.9781870368575,5000,42
183,761.8284914560343,791.559350291302,825.9839863807915,5000,42
184,761.8249710917372,791.5578159261265,825.988555864898,5000,42
185,761.8209942084957,791.5566674458353,825.9878538725794,5000,42
186,761.8183182445478,791.5574812827208,825.9912550083573,5000,42
187,761.8175522386271,791.5603146317139,825.9966601207324,5000,42
188,761.8190484730992,791.5608607684431,825.9995857179681,5000,42
189,761.8192707036233,791.5598785646355,826.0050624983714,5000,42
190,761.8147405089156,791.5605644880189,826.0117453337016,5000,42
191,761.8120434539626,791.5601685943627,826.0129250462868,5000,42
192,761.8060198454667,791.5584009843874,826.0205731145313,5000,42
193,761.8062508364656,791.5575605656886,826.0265226139769,5000,42
194,761.7986401664972,791.5563363113872,826.0217398408649,5000,42
195,761.7993067739205,791.557111242643,826.0319023138429,5000,42
196,761.7972770696296,791.5583069686995,826.0359191506315,5000,42
197,761.7980538149859,791.5580557224755,826.0400474088331,5000,42
198,761.7939331918983,791.5593774140561,826.0496939308213,5000,42
199,761.7954972546939,791.5597807624314,826.049796512784,5000,42
200,761.7882736606755,791.5607608848462,826.0478572812888,5000,42
