run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
129,6.396512784190476,7.522059429289313,9.511652670857142,5000,42
130,6.396501473690476,7.522082192548288,9.512309847190474,5000,42
131,6.396428662857144,7.522042470073793,9.513579472857144,5000,42
132,6.396353587690476,7.522166654540076,9.514671579690475,5000,42
133,6.396216492190477,7.522063983303565,9.515674338190474,5000,42
134,6.39620435802381,7.5221312599517764,9.517140010523807,5000,42
135,6.3960944911904765,7.521992657041832,9.517464947523811,5000,42
136,6.396053906190476,7.521885576968239,9.517735917857141,5000,42
137,6.395892365523809,7.521805028629872,9.517903738857143,5000,42
138,6.395802564690476,7.521758040387534,9.51898441635714,5000,42
139,6.395761957523809,7.521782947454217,9.52016256085714,5000,42
140,6.395660448523809,7.521832135657431,9.521231822190478,5000,42
141,6.395547476190476,7.521800918148995,9.52217980952381,5000,42
142,6.395557663190476,7.521922870680253,9.523194292357141,5000,42
143,6.395495850190477,7.521904778668463,9.523775280523807,5000,42
144,6.39538712252381,7.521886965601121,9.524748603357141,5000,42
145,6.395282494857144,7.521863543103356,9.52507842552381,5000,42
146,6.3951926978571425,7.521742141721095,9.525666467857143,5000,42
147,6.395113448190476,7.521822769358747,9.527350252523808,5000,42
148,6.395025880357143,7.521841616082151,9.527710713190475,5000,42
149,6.3950002461904765,7.521884285464395,9.527558424190474,5000,42
150,6.394953062857144,7.521965280445773,9.528132291190477,5000,42
151,6.394913217857143,7.522091903844093,9.52894573452381,5000,42
152,6.394851880190475,7.522164681573568,9.529595408523807,5000,42
153,6.394852614857143,7.522149629183518,9.529234829523807,5000,42
154,6.394791432857143,7.5221431810418045,9.529704729023805,5000,42
155,6.394744019190476,7.522083695938506,9.52971084452381,5000,42
156,6.394698007023809,7.522001927081128,9.530222353690476,5000,42
157,6.394682092857143,7.52208452765597,9.530473895523809,5000,42
158,6.394662555190476,7.5220277760456025,9.530748474523806,5000,42
159,6.394638282523809,7.522000389501668,9.532186596523808,5000,42
160,6.394636679023809,7.522036780254729,9.532218651357145,5000,42
161,6.394512849523809,7.5220429281887515,9.53274406952381,5000,42
162,6.39446025852381,7.521942162605845,9.532981372357142,5000,42
163,6.394415668523809,7.521921699274163,9.534080433857142,5000,42
164,6.394320400023809,7.521840730037842,9.534968759190473,5000,42
165,6.394292494190475,7.521860655802011,9.53484869952381,5000,42
166,6.394226457857143,7.521862150155373,9.535662197857144,5000,42
167,6.394154307523809,7.521938328748014,9.536344562857142,5000,42
168,6.394083506357143,7.521902143202481,9.537122748690473,5000,42
169,6.394033037523809,7.521935430020877,9.538481890857142,5000,42
170,6.393955226190476,7.52190610307976,9.539605957357145,5000,42
171,6.39390204952381,7.5219196848177,9.540183891190477,5000,42
172,6.393774780190475,7.521869384086644,9.540371208690475,5000,42
173,6.393729328857143,7.5219724751573125,9.542084127523808,5000,42
174,6.393651158190476,7.522027076241102,9.54337387685714,5000,42
175,6.393587825523809,7.5219115133670025,9.544373814190475,5000,42
176,6.3935192928571425,7.5219606474412215,9.545132293690477,5000,42
177,6.393454437523809,7.5220183660819995,9.545808354857142,5000,42
178,6.393401702857143,7.522108066258627,9.546853787857142,5000,42
179,6.393391622190475,7.522152267622914,9.548181571857139,5000,42
180,6.393328523357143,7.52218192367979,9.548461846190476,5000,42
181,6.393301262857143,7.522204418687354,9.548693466190477,5000,42
182,6.39325653952381,7.522177336919471,9.54884860152381,5000,42
183,6.393227225857143,7.522305920628535,9.549326499857141,5000,42
184,6.393171170690477,7.522196420681574,9.550215837523806,5000,42
185,6.393100365523809,7.522210218246655,9.551005825523811,5000,42
186,6.393084952023809,7.522194042931181,9.550979055357143,5000,42
187,6.393060760190476,7.522201144928866,9.551663291190476,5000,42
188,6.393013677857143,7.522098381262296,9.551727195357142,5000,42
189,6.392967406857143,7.521998346377725,9.55219233285714,5000,42
