run,peak_electricity_kw,demand_target,source_columns,source_file,cumulative_avg_peak_kw
68,782.8085543918775,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_68.csv,790.3103600590629
69,784.12263585335,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_69.csv,790.2206828966612
70,772.3846266554812,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_70.csv,789.9658820932158
71,824.5753459183644,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_71.csv,790.4533393301897
72,764.8522312038702,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_72.csv,790.0977683839908
73,805.5501482448055,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_73.csv,790.3094448204403
74,790.4401275431748,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_74.csv,790.31121080318
75,785.4607881443615,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_75.csv,790.2465385010624
76,790.4251130210648,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_76.csv,790.2488881657993
77,772.0522347362147,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_77.csv,790.012567991389
78,788.8372059007071,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_78.csv,789.9974992466367
79,782.7459011656041,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_79.csv,789.9057068658641
80,782.3905998724911,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_80.csv,789.811768028447
81,798.6608383201753,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_81.csv,789.9210158098264
82,794.6783688419206,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_82.csv,789.9790323102178
83,793.4220764919402,Aggregated,all_elec_kw_columns,E:\GitHubProjects\LV network\Output Data\Convergence Plot\mc_run_83.csv,790.0205147702385
