run_count,empirical_p2_5_peak_kw,empirical_p50_peak_kw,empirical_p97_5_peak_kw
73,6.336030476190476,7.026790476190476,8.96292380952381
74,6.336329642857143,7.028490476190476,8.96292380952381
75,6.336628809523809,7.0301904761904765,8.96292380952381
76,6.336927976190476,7.028490476190476,8.96292380952381
77,6.3372271428571425,7.0301904761904765,8.96292380952381
78,6.33752630952381,7.028490476190476,8.96292380952381
79,6.337825476190476,7.026790476190476,8.96292380952381
80,6.338124642857143,7.028490476190476,8.96292380952381
81,6.3384238095238095,7.0301904761904765,8.96292380952381
82,6.339229642857143,7.036557142857143,8.95954380952381
83,6.340035476190476,7.04292380952381,8.95616380952381
84,6.340841309523809,7.036557142857143,8.95278380952381
85,6.341647142857143,7.04292380952381,8.949403809523808
86,6.342452976190476,7.036557142857143,8.94602380952381
87,6.343258809523809,7.04292380952381,8.942643809523808
88,6.344064642857143,7.06272380952381,8.93926380952381
89,6.328850476190476,7.04292380952381,8.93588380952381
90,6.329149642857143,7.06272380952381,8.932503809523809
91,6.329448809523809,7.04292380952381,8.92912380952381
92,6.329747976190476,7.036557142857143,8.925743809523809
93,6.3300471428571425,7.04292380952381,8.92236380952381
94,6.33034630952381,7.06272380952381,8.918983809523809
95,6.330645476190476,7.04292380952381,8.915603809523809
96,6.330944642857142,7.06272380952381,8.91222380952381
97,6.3312438095238095,7.08252380952381,8.908843809523809
98,6.331542976190476,7.11237380952381,8.90546380952381
99,6.331842142857143,7.142223809523809,8.902083809523809
100,6.332141309523809,7.167473809523809,8.89870380952381
101,6.332440476190476,7.192723809523809,8.89532380952381
102,6.332739642857143,7.192723809523809,8.89194380952381
103,6.333038809523809,7.192723809523809,8.888563809523811
104,6.333337976190476,7.167473809523809,8.88518380952381
105,6.3336371428571425,7.192723809523809,8.88180380952381
106,6.33393630952381,7.167473809523809,8.87842380952381
107,6.334235476190476,7.189190476190476,8.87504380952381
108,6.334534642857142,7.190957142857142,8.871663809523811
109,6.3348338095238095,7.189190476190476,8.86828380952381
110,6.335132976190476,7.165707142857142,8.86490380952381
111,6.335432142857143,7.189190476190476,8.96292380952381
112,6.335731309523809,7.165707142857142,8.96292380952381
113,6.336030476190476,7.142223809523809,8.96292380952381
114,6.336329642857143,7.137623809523809,8.96292380952381
115,6.336628809523809,7.133023809523809,8.96292380952381
116,6.336927976190476,7.10777380952381,8.96292380952381
117,6.3372271428571425,7.08252380952381,8.96292380952381
118,6.33752630952381,7.06272380952381,8.96292380952381
119,6.337825476190476,7.08252380952381,8.96292380952381
120,6.338124642857143,7.10777380952381,8.96292380952381
121,6.3384238095238095,7.08252380952381,8.96292380952381
122,6.339229642857143,7.06272380952381,8.96292380952381
123,6.327055476190476,7.04292380952381,8.96292380952381
124,6.327354642857142,7.036557142857143,8.96292380952381
125,6.3276538095238095,7.04292380952381,8.96292380952381
126,6.327952976190476,7.06272380952381,8.96292380952381
127,6.328252142857143,7.04292380952381,8.96292380952381
128,6.328551309523809,7.06272380952381,8.96292380952381
129,6.3280771428571425,7.04292380952381,8.96292380952381
130,6.328279642857143,7.06272380952381,8.96292380952381
131,6.328482142857142,7.08252380952381,8.96292380952381
132,6.328684642857143,7.06272380952381,8.96292380952381
133,6.328887142857143,7.04292380952381,8.96292380952381
134,6.329089642857142,7.06272380952381,8.96292380952381
135,6.329292142857143,7.04292380952381,8.96292380952381
136,6.329494642857143,7.06272380952381,8.96292380952381
137,6.3296971428571425,7.04292380952381,8.96292380952381
138,6.329899642857143,7.04292380952381,8.96292380952381
139,6.330102142857143,7.04292380952381,8.96292380952381
140,6.330304642857143,7.036557142857143,8.96292380952381
141,6.330507142857143,7.0301904761904765,8.96292380952381
142,6.330709642857143,7.028490476190476,8.96292380952381
143,6.330912142857143,7.0301904761904765,8.96292380952381
144,6.331114642857143,7.036557142857143,8.96292380952381
145,6.331317142857143,7.0301904761904765,8.96292380952381
146,6.331519642857143,7.036557142857143,8.96292380952381
147,6.331722142857143,7.0301904761904765,8.96292380952381
148,6.331924642857143,7.036557142857143,8.96292380952381
149,6.332127142857143,7.0301904761904765,8.96292380952381
150,6.332329642857143,7.036557142857143,8.96292380952381
151,6.3325321428571435,7.0301904761904765,8.96292380952381
152,6.332734642857143,7.028490476190476,8.96292380952381
153,6.332937142857143,7.026790476190476,8.96292380952381
154,6.333139642857143,7.025857142857142,8.96292380952381
155,6.333342142857143,7.026790476190476,8.96292380952381
156,6.333544642857143,7.025857142857142,8.96292380952381
157,6.333747142857143,7.026790476190476,8.96292380952381
158,6.3327471428571425,7.025857142857142,8.96292380952381
159,6.332917142857143,7.024923809523809,8.96292380952381
160,6.333087142857143,7.006490476190477,8.96292380952381
161,6.333257142857143,7.024923809523809,8.96292380952381
162,6.333289642857142,7.025857142857142,8.96292380952381
163,6.333322142857143,7.024923809523809,8.96292380952381
164,6.333354642857143,7.025857142857142,8.96292380952381
165,6.327137142857143,7.024923809523809,8.96292380952381
166,6.327307142857142,7.006490476190477,8.96292380952381
167,6.327477142857143,7.024923809523809,8.96292380952381
168,6.327647142857143,7.013907142857143,8.96292380952381
169,6.327817142857143,7.002890476190476,8.96292380952381
170,6.300727142857142,6.99547380952381,8.96292380952381
171,6.301557142857143,7.002890476190476,8.96292380952381
172,6.3023871428571425,7.013907142857143,8.96292380952381
173,6.303217142857142,7.002890476190476,8.96292380952381
174,6.304047142857143,6.99547380952381,8.96292380952381
175,6.304877142857142,7.002890476190476,8.96292380952381
