ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.4,0.0,0.7000000000000001,0.29999999999999993,True,147,59,0,103,44,500,356.1034851074219,11.512951850891113,355.7758483886719,370.9456787109375,375.48703155517575,391.989501953125,324.1502990722656
0.4,0.0,0.75,0.25,True,147,59,0,110,37,500,369.5567932128906,11.716938972473145,368.17308044433594,385.3543670654297,389.4577270507813,419.7052307128906,338.6893005371094
0.4,0.0,0.8,0.19999999999999996,True,147,59,0,118,29,500,386.82904052734375,11.78945541381836,386.2189636230469,402.1960845947266,406.31590881347654,435.1451110839844,353.2589416503906
0.4,0.0,0.8500000000000001,0.1499999999999999,True,147,59,0,125,22,500,400.6298828125,11.837347030639648,399.8850555419922,416.2000427246094,420.8074462890625,435.467529296875,370.1226806640625
0.4,0.0,0.9,0.09999999999999998,True,147,59,0,132,15,500,413.7952575683594,12.381771087646484,412.8936462402344,430.02222595214846,437.5777908325195,458.7658996582031,379.0467529296875
0.4,0.0,0.9500000000000001,0.04999999999999993,True,147,59,0,140,7,500,430.5658264160156,12.097477912902832,430.0338439941406,447.12278747558594,452.80949249267576,465.8579406738281,402.38787841796875
0.4,0.0,1.0,0.0,True,147,59,0,147,0,500,444.4842224121094,12.028166770935059,443.52806091308594,460.6263305664063,466.47155151367184,480.546875,410.9085388183594
0.4,0.05,0.0,0.95,True,147,59,7,0,140,500,158.2126922607422,10.210468292236328,157.8336639404297,171.60191802978517,176.3147300720215,191.80355834960938,131.8294677734375
0.4,0.05,0.05,0.8999999999999999,True,147,59,7,7,133,500,172.4294891357422,9.813608169555664,171.23194885253906,185.53604888916016,189.3538475036621,210.56944274902344,148.80722045898438
0.4,0.05,0.1,0.85,True,147,59,7,15,125,500,188.56471252441406,10.140399932861328,187.96560668945312,201.5510986328125,205.86844329833983,236.25833129882812,163.74810791015625
0.4,0.05,0.15000000000000002,0.7999999999999999,True,147,59,7,22,118,500,201.8522186279297,9.988117218017578,201.22767639160156,215.1982833862305,219.16993408203123,232.4862060546875,172.07241821289062
0.4,0.05,0.2,0.75,True,147,59,7,29,111,500,216.1332550048828,10.588163375854492,215.8154296875,229.1954086303711,234.04593048095703,263.07781982421875,190.20391845703125
0.4,0.05,0.25,0.7,True,147,59,7,37,103,500,231.5863494873047,11.309683799743652,230.2813491821289,246.49112091064453,250.6907958984375,269.21612548828125,201.87095642089844
0.4,0.05,0.30000000000000004,0.6499999999999999,True,147,59,7,44,96,500,245.91201782226562,10.315418243408203,245.4119415283203,259.83849182128904,263.38379974365233,274.87060546875,218.88775634765625
0.4,0.05,0.35000000000000003,0.5999999999999999,True,147,59,7,51,89,500,259.9955139160156,11.434758186340332,259.58160400390625,274.69158630371095,279.59582977294923,299.04730224609375,228.93218994140625
0.4,0.05,0.4,0.5499999999999999,True,147,59,7,59,81,500,275.3272705078125,10.208586692810059,274.75457763671875,288.28968505859376,292.2360595703125,309.35552978515625,249.63540649414062
0.4,0.05,0.45,0.49999999999999994,True,147,59,7,66,74,500,289.0804748535156,10.995222091674805,288.46742248535156,303.61475524902346,307.671304321289,325.7160339355469,263.2786865234375
0.4,0.05,0.5,0.44999999999999996,True,147,59,7,74,66,500,305.0711975097656,11.025548934936523,304.9008331298828,318.58995666503904,322.7572204589843,348.6874084472656,276.3307189941406
0.4,0.05,0.55,0.3999999999999999,True,147,59,7,81,59,500,318.8702392578125,11.978995323181152,318.3070373535156,334.90233154296874,339.5256851196289,351.03143310546875,286.74609375
0.4,0.05,0.6000000000000001,0.34999999999999987,True,147,59,7,88,52,500,333.11480712890625,11.427478790283203,333.1499481201172,347.5543975830078,353.4943740844726,375.67730712890625,304.2685852050781
0.4,0.05,0.65,0.29999999999999993,True,147,59,7,96,44,500,350.2432861328125,11.670238494873047,349.1721954345703,366.5974975585938,370.90198516845703,393.73992919921875,316.1256408691406
0.4,0.05,0.7000000000000001,0.2499999999999999,True,147,59,7,103,37,500,364.716552734375,12.547550201416016,364.06353759765625,379.92413940429685,384.58115844726564,415.24993896484375,324.1998291015625
