run,peak_kw,running_mean_kw
418,540.2435913085938,539.248168361244
419,542.7091674804688,539.2564140811456
420,553.4510498046875,539.2902157738096
421,498.9693603515625,539.1944403206651
422,531.97998046875,539.1773548578199
423,524.31494140625,539.142213356974
424,539.83984375,539.1438679245283
425,544.6415405273438,539.1568014705882
426,527.9993896484375,539.1306117957746
427,543.6306762695312,539.141137295082
428,535.4779663085938,539.1325934579439
429,543.98779296875,539.143902972028
430,552.1395874023438,539.1741279069768
431,578.9798583984375,539.2664950696055
432,532.3295288085938,539.2504340277778
433,541.063232421875,539.2546189376443
434,578.1851196289062,539.3443260368664
435,523.1492309570312,539.3071120689655
436,539.6007690429688,539.3077694954128
437,561.431640625,539.3584096109839
438,538.5603637695312,539.3565924657535
439,514.7186279296875,539.3004698177676
440,537.7526245117188,539.2969460227273
441,538.6181640625,539.295422335601
442,555.356689453125,539.3317661199095
443,537.0066528320312,539.3265025395034
444,506.57867431640625,539.2527449324324
445,561.6756591796875,539.303125
446,537.8651733398438,539.2998878923767
447,538.1857299804688,539.2973993288591
448,546.7748413085938,539.3141043526786
449,521.6074829101562,539.2746728841871
450,567.129638671875,539.3365625
451,540.99658203125,539.3402508314856
452,544.1351318359375,539.3508711283185
453,539.6990966796875,539.3516487306844
454,534.2757568359375,539.3404804515418
455,524.9514770507812,539.3088598901099
456,535.8848876953125,539.3013637609649
457,512.294677734375,539.24227297593
458,536.232177734375,539.2357055131005
459,515.8185424804688,539.1846745642702
460,563.886474609375,539.2383831521739
461,568.9512939453125,539.3028402928417
462,527.999267578125,539.2783752705627
463,541.7755126953125,539.2837810475162
464,558.2116088867188,539.3245891702586
465,498.02978515625,539.2357862903226
466,564.9473876953125,539.2909737124463
467,541.8836669921875,539.2965404175588
468,572.0689086914062,539.3665531517094
469,515.3416137695312,539.3153318230277
470,558.9183349609375,539.3570478723404
471,565.67529296875,539.4129179936306
472,537.566162109375,539.4089976165254
473,521.6190185546875,539.3713993128964
474,540.1461791992188,539.3730221518987
475,539.391357421875,539.3730592105263
476,529.9335327148438,539.3532366071429
477,563.4463500976562,539.4037604821802
478,544.6253662109375,539.4146835774059
479,537.9252319335938,539.4115670668059
480,537.241455078125,539.40703125
