ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,dt_hours,co2_kg_per_kwh,annual_gas_mean_kwh,annual_gas_std_kwh,annual_gas_p50_kwh,annual_gas_p90_kwh,annual_gas_p95_kwh,annual_gas_max_kwh,annual_gas_min_kwh,annual_co2_mean_kg,annual_co2_std_kg,annual_co2_p50_kg,annual_co2_p90_kg,annual_co2_p95_kg,annual_co2_max_kg,annual_co2_min_kg
0.0,0.25,0.65,0.09999999999999998,True,147,0,37,96,14,100,0.5,0.183,258857.7346851601,22664.277281502582,259553.680099361,288046.63299272984,294172.34358669334,310872.1341389341,204583.1087260875,47370.96544738429,4147.562742514972,47498.32345818306,52712.53383766956,53833.53887636488,56889.60054742493,37438.70889687401
0.0,0.25,0.7000000000000001,0.04999999999999993,True,147,0,37,103,7,100,0.5,0.183,183090.38743000408,17236.155903974126,182594.96983302076,204279.7158366324,211080.9730681554,244756.27884087563,141943.90387027452,33505.54089969074,3154.216530427265,33414.879479442796,37383.18799810373,38627.81807147244,44790.39902788024,25975.734408260236
0.0,0.25,0.75,0.0,True,147,0,37,110,0,100,0.5,0.183,107369.60759621853,10794.817778147846,106006.51680333397,121916.69619102286,128143.11954844903,140139.49067714458,82960.18162893475,19648.638190107984,1975.4516534010559,19399.192575010118,22310.755402957184,23450.19087736617,25645.52679391746,15181.713238095059
0.0,0.30000000000000004,0.0,0.7,True,147,0,44,0,103,100,0.5,0.183,1248535.7616907712,24388.87526463062,1246766.2970256498,1278561.972992224,1289819.6145858562,1300130.0015047283,1194406.6588229912,228482.04438941114,4463.164173427405,228158.23235569388,233976.84105757697,236036.98946921166,237923.7902753653,218576.4185646074
0.0,0.30000000000000004,0.05,0.6499999999999999,True,147,0,44,7,96,100,0.5,0.183,1175962.1370001212,20948.974685187586,1177252.0994281063,1201040.7296713833,1209717.6279057488,1231763.953722129,1130464.0010691567,215201.07107102216,3833.662367389329,215437.13419534345,219790.45352986312,221378.32590675203,225412.80353114964,206874.91219565566
0.0,0.30000000000000004,0.1,0.6,True,147,0,44,15,88,100,0.5,0.183,1081986.9294524472,26750.367970101,1083391.469884134,1113668.6223365376,1123025.6295411803,1143564.6627237636,999118.5148525726,198003.60808979787,4895.317338528483,198260.6389887965,203801.35788758637,205513.690206036,209272.33327844873,182838.68821802078
0.0,0.30000000000000004,0.15000000000000002,0.5499999999999999,True,147,0,44,22,81,100,0.5,0.183,1011788.8554579758,27048.459430994495,1008539.8108040898,1047785.9864333067,1057360.9020371921,1080500.3229087582,934941.4709500818,185157.36054880952,4949.868075871991,184562.78537714842,191744.83551729514,193497.04507280616,197731.55909230275,171094.28918386498
0.0,0.30000000000000004,0.2,0.49999999999999994,True,147,0,44,29,74,100,0.5,0.183,929234.2672790161,28770.30206423274,927826.3932516112,970050.8955685162,972066.9766077506,1004718.4872328494,851926.4474372037,170049.87091205997,5264.965277754591,169792.22996504483,177519.3138890385,177888.25671921836,183863.48316361144,155902.53988100827
0.0,0.30000000000000004,0.25,0.44999999999999996,True,147,0,44,37,66,100,0.5,0.183,846550.2740622349,30116.524901458593,842556.3072331841,893292.2383575432,901500.8491282762,922003.2119567363,773319.1105291623,154918.70015338899,5511.324056966922,154187.8042236727,163472.47961943038,164974.65539047454,168726.58778808275,141517.3972268367
0.0,0.30000000000000004,0.30000000000000004,0.3999999999999999,True,147,0,44,44,59,100,0.5,0.183,766007.0041043124,31442.004140531248,765232.0213444505,804598.3073491553,817486.7924759806,845489.7078181157,675276.6816843905,140179.28175108915,5753.886757717217,140037.45990603443,147241.49024489542,149600.08302310444,154724.61653071517,123575.63274824346
0.0,0.30000000000000004,0.35000000000000003,0.3499999999999999,True,147,0,44,51,52,100,0.5,0.183,695236.6209771555,29608.794762994414,693734.9287325619,737004.5770174937,744564.2184540357,758314.5134083655,624617.9857063213,127228.30163881948,5418.409441627978,126953.49195805882,134871.83759420135,136255.2519770885,138771.5559537309,114305.0913842568
0.0,0.30000000000000004,0.4,0.29999999999999993,True,147,0,44,59,44,100,0.5,0.183,600799.1607488404,27212.50713240617,599279.7610405126,636863.1630311782,640012.8256888129,677451.171657461,522370.3165066379,109946.24641703781,4979.888805230328,109668.1962704138,116545.95883470561,117122.34710105276,123973.56441331535,95593.76792071473
0.0,0.30000000000000004,0.45,0.24999999999999994,True,147,0,44,66,37,100,0.5,0.183,530813.591706918,28435.992147067394,525163.6717749776,564524.3830631282,587689.9571677344,602649.867333203,452727.32756487944,97138.88728236599,5203.786562913332,96104.95193482089,103307.96210055247,107547.26216169538,110284.92572197613,82849.10094437294
