run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
281,357.65997857055663,377.91846514888306,400.36925131225587,5000,42
282,357.65985488372803,377.91927887780946,400.3747560400391,5000,42
283,357.65786877014165,377.9193516786602,400.3793908477783,5000,42
284,357.6572128338623,377.91893321881395,400.3842249285889,5000,42
285,357.6560143774414,377.9181995155729,400.3829201348877,5000,42
286,357.6520829963684,377.9170534661984,400.3850462379456,5000,42
287,357.649558583374,377.9164031907998,400.38574440063474,5000,42
288,357.6456521656799,377.91550273575217,400.38726278976446,5000,42
289,357.64708312622065,377.9155375144445,400.38675782958984,5000,42
290,357.647204259491,377.9158319717084,400.3855704963684,5000,42
291,357.6452977859497,377.91542466065613,400.385557472229,5000,42
292,357.6448216853333,377.9153062335291,400.386176431427,5000,42
293,357.6436888800049,377.9150061950267,400.38893120971676,5000,42
294,357.6428055621338,377.9158938383766,400.393258367157,5000,42
295,357.64296293426514,377.91623166123395,400.39630378662105,5000,42
296,357.642414553833,377.91635377327196,400.39746910934446,5000,42
297,357.6430643139648,377.91670664479767,400.3967362084961,5000,42
298,357.64187282547,377.9166084118117,400.3970182652283,5000,42
299,357.6399973330689,377.91653839088724,400.40002191253666,5000,42
300,357.6398461585999,377.9165444734299,400.40101665267946,5000,42
301,357.6382896942139,377.9165110768061,400.4029961578369,5000,42
302,357.6362986991882,377.9166685208145,400.4023542500305,5000,42
303,357.6377198904419,377.917460179153,400.40198597839355,5000,42
304,357.6359076364136,377.91799088528296,400.40542821762085,5000,42
305,357.6372126123047,377.918926190406,400.4065856848145,5000,42
306,357.63502336120604,377.9193484597203,400.41068998565675,5000,42
307,357.6359343548584,377.9195433055557,400.4130631668091,5000,42
308,357.63474688873293,377.9197344327854,400.41349162231444,5000,42
309,357.63393864074703,377.91982172426736,400.41892342468265,5000,42
310,357.6338860101318,377.9200394860453,400.4211690496826,5000,42
311,357.6336228637695,377.92013164804445,400.4203962387085,5000,42
312,357.632589156189,377.92065804138247,400.41998784545893,5000,42
313,357.6332125622559,377.9207241165312,400.41958368164063,5000,42
314,357.63367356369014,377.9211787125119,400.42192785064697,5000,42
315,357.6342291210937,377.92198378098107,400.4258654318237,5000,42
316,357.63639859848024,377.92182413971335,400.4232590209961,5000,42
317,357.63595325134276,377.92148503234966,400.4214949353027,5000,42
318,357.63882334930423,377.9211794957957,400.41914559906,5000,42
319,357.63891065338134,377.92020347437335,400.41747638549805,5000,42
320,357.6391076452637,377.92098437692636,400.4222472743225,5000,42
321,357.64031471557615,377.92049492653285,400.42021697387696,5000,42
322,357.64141265731814,377.92014603222196,400.42227354644774,5000,42
323,357.64048683258056,377.91974362830695,400.42362172180174,5000,42
324,357.63929469070433,377.9197013625726,400.42708706527714,5000,42
325,357.63817877136233,377.9191038772353,400.4312275390625,5000,42
326,357.63917424087526,377.92000671382937,400.4334809371948,5000,42
327,357.6398106768799,377.92049592455027,400.4384558468628,5000,42
328,357.64040209289556,377.9203861403853,400.43916671173093,5000,42
329,357.63910752563476,377.91998171935836,400.4405768347168,5000,42
330,357.6381282070923,377.9201621135188,400.44481128921507,5000,42
331,357.63665133514405,377.9197886991659,400.44673547973633,5000,42
332,357.6366286799622,377.91979626543946,400.446346578064,5000,42
333,357.6362716339111,377.9196566387739,400.44543070678714,5000,42
334,357.6352884666443,377.91951605197124,400.44643597610474,5000,42
