ev_penetration,hhp_percentage,n_dwellings,n_ev_homes,n_hhp_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.84,0.24,147,123,35,500,532.123291015625,16.435842514038086,529.6969299316406,555.844970703125,560.2769744873046,582.881103515625,484.8701171875
0.86,0.24,147,126,35,500,536.3954467773438,16.553056716918945,535.5704956054688,558.9441772460938,565.2552276611328,605.9639892578125,489.8141174316406
0.88,0.24,147,129,35,500,542.7664794921875,17.280616760253906,541.2481079101562,566.3730041503907,573.2724426269531,610.07666015625,506.45062255859375
0.9,0.24,147,132,35,500,548.023193359375,16.37211799621582,547.8269653320312,569.8228698730469,574.3070983886719,600.2847900390625,502.247314453125
0.92,0.24,147,135,35,500,552.6742553710938,16.754878997802734,550.9772644042969,575.0277038574219,581.8145690917969,603.8804321289062,508.7185974121094
0.9400000000000001,0.24,147,138,35,500,557.7091064453125,17.010356903076172,556.3903198242188,581.8905517578125,589.24013671875,617.7718505859375,515.22119140625
0.96,0.24,147,141,35,500,564.7101440429688,17.266752243041992,563.4923706054688,587.2421569824219,596.3680755615234,614.5810546875,519.60888671875
0.98,0.24,147,144,35,500,570.6824951171875,17.52482032775879,570.0265197753906,594.2406799316407,599.7122589111328,631.0863037109375,525.9178466796875
1.0,0.24,147,147,35,500,576.1115112304688,17.766902923583984,575.2045593261719,598.3102783203125,606.5300476074219,650.4063110351562,525.7188720703125
0.0,0.26,147,0,38,500,290.32452392578125,4.190090656280518,290.3889923095703,295.6549346923828,296.9410995483398,303.5801696777344,277.57421875
0.02,0.26,147,3,38,500,297.39263916015625,5.01474666595459,297.3912048339844,303.92120666503905,305.5152923583984,310.2969665527344,281.4302978515625
0.04,0.26,147,6,38,500,304.9470520019531,5.760438919067383,305.08294677734375,312.49158935546876,314.5403060913086,320.7445068359375,287.6006774902344
0.06,0.26,147,9,38,500,310.3970642089844,6.037068843841553,310.12896728515625,318.2471527099609,320.39944915771486,331.01556396484375,294.37030029296875
0.08,0.26,147,12,38,500,317.53619384765625,6.623808860778809,317.6400604248047,326.3169677734375,328.74927520751953,340.9732360839844,297.63409423828125
0.1,0.26,147,15,38,500,323.5148620605469,6.796139240264893,323.5610656738281,332.6745300292969,335.82714233398434,344.264404296875,304.0539855957031
0.12,0.26,147,18,38,500,330.2685546875,7.6756768226623535,330.26947021484375,340.02417907714846,343.49027252197266,353.83148193359375,307.8168029785156
0.14,0.26,147,21,38,500,336.1041259765625,8.182747840881348,335.66290283203125,346.4685424804687,350.1858947753906,365.96038818359375,317.5791931152344
0.16,0.26,147,24,38,500,341.6990661621094,8.232345581054688,341.37451171875,352.744091796875,355.5294021606445,369.99066162109375,320.3382263183594
0.18,0.26,147,26,38,500,345.77606201171875,8.420295715332031,345.5160675048828,356.25234069824216,359.4524185180664,373.6851806640625,321.9485168457031
0.2,0.26,147,29,38,500,351.4543151855469,8.574268341064453,350.9132843017578,362.8376525878906,365.8076538085937,383.72137451171875,325.7080078125
0.22,0.26,147,32,38,500,357.0478210449219,8.95145034790039,356.57777404785156,368.22658081054686,371.25093841552734,397.26806640625,331.2641296386719
0.24,0.26,147,35,38,500,363.7182312011719,9.656020164489746,363.13043212890625,377.1021728515625,380.1469696044922,390.38067626953125,338.8336181640625
0.26,0.26,147,38,38,500,369.5564270019531,9.749733924865723,369.37351989746094,382.9161743164062,386.7432266235352,397.4285583496094,342.69354248046875
0.28,0.26,147,41,38,500,375.9035949707031,10.135690689086914,375.18739318847656,387.95501403808595,393.1039047241211,410.7640075683594,344.6493225097656
0.3,0.26,147,44,38,500,381.54705810546875,11.274250984191895,380.3609924316406,395.46400146484376,401.0811080932617,424.5552673339844,349.4563903808594
0.32,0.26,147,47,38,500,386.1893310546875,10.850665092468262,385.19105529785156,400.62583312988284,404.5731658935547,435.92926025390625,359.692626953125
0.34,0.26,147,50,38,500,393.29931640625,10.84630298614502,392.5102844238281,406.7667236328125,411.38187103271486,430.4497375488281,364.9129943847656
0.36,0.26,147,53,38,500,398.5157470703125,10.814988136291504,397.2947540283203,413.3846740722656,417.96634674072266,437.38201904296875,368.388671875
0.38,0.26,147,56,38,500,404.4861145019531,11.8026123046875,403.4979553222656,420.13031311035155,424.9053070068359,443.16339111328125,373.82537841796875
0.4,0.26,147,59,38,500,409.44512939453125,11.47835636138916,408.62294006347656,424.45098266601565,430.27067108154296,445.38885498046875,382.5750427246094
0.42,0.26,147,62,38,500,415.126708984375,12.020085334777832,414.6431884765625,430.44537353515625,436.34961395263673,453.77081298828125,377.1100158691406
0.44,0.26,147,65,38,500,421.3490905761719,12.588932991027832,420.80259704589844,437.52015686035156,442.1587142944336,463.0927734375,390.70428466796875
0.46,0.26,147,68,38,500,426.6103820800781,12.108133316040039,425.3843078613281,442.8699554443359,447.69457550048827,470.7818908691406,391.3658447265625
0.48,0.26,147,71,38,500,432.2991943359375,12.489996910095215,431.1222229003906,448.46616516113284,455.4731033325195,474.486328125,398.0475769042969
0.5,0.26,147,74,38,500,437.97637939453125,13.352350234985352,437.14601135253906,456.1120208740235,461.3192794799804,485.2431640625,410.9760437011719
0.52,0.26,147,76,38,500,441.59637451171875,13.364874839782715,440.8988494873047,457.91590881347656,463.48715362548825,492.7379150390625,400.7238464355469
0.54,0.26,147,79,38,500,447.77001953125,14.163761138916016,447.3016662597656,465.47039184570315,472.99548034667964,494.8299560546875,406.21697998046875
0.56,0.26,147,82,38,500,452.951416015625,13.459282875061035,452.21478271484375,470.1627471923828,477.04121093749995,497.99346923828125,414.4897155761719
0.58,0.26,147,85,38,500,459.3968811035156,14.158304214477539,457.758544921875,476.7295684814453,486.11682891845703,509.0371398925781,421.9052734375
0.6,0.26,147,88,38,500,463.96771240234375,13.974717140197754,463.89402770996094,481.1455810546875,485.7321533203125,516.8284912109375,417.34783935546875
0.62,0.26,147,91,38,500,469.3816223144531,14.4979829788208,468.4091796875,487.7072357177735,491.7045211791992,533.145751953125,423.7203063964844
0.64,0.26,147,94,38,500,475.28912353515625,14.68727970123291,474.15899658203125,494.03253173828125,501.7889343261719,531.4595947265625,431.15716552734375
0.66,0.26,147,97,38,500,482.60723876953125,14.47098159790039,481.4441375732422,501.0376220703125,508.55420684814453,534.601318359375,444.2667236328125
0.68,0.26,147,100,38,500,486.70855712890625,13.494366645812988,486.5526428222656,503.98729248046874,510.73763580322264,540.3240966796875,449.2455139160156
0.7000000000000001,0.26,147,103,38,500,492.34844970703125,14.24059009552002,492.2190856933594,511.2220031738281,515.8104461669922,532.6724853515625,454.5621643066406
0.72,0.26,147,106,38,500,498.0065002441406,14.432273864746094,497.7696838378906,516.5322998046875,522.9916259765624,562.5736083984375,453.90521240234375
0.74,0.26,147,109,38,500,502.9432373046875,15.569815635681152,501.98455810546875,522.8093444824219,528.347119140625,563.075927734375,465.9090881347656
0.76,0.26,147,112,38,500,508.9236755371094,14.665783882141113,508.41162109375,529.1717346191406,535.1940887451171,552.024169921875,469.58038330078125
0.78,0.26,147,115,38,500,514.7858276367188,15.736705780029297,513.7887573242188,535.6487670898438,542.4807830810547,571.380615234375,477.8428039550781
0.8,0.26,147,118,38,500,520.0771484375,16.4166316986084,519.3688659667969,541.6828308105469,547.6918548583984,582.27978515625,476.4078369140625
0.8200000000000001,0.26,147,121,38,500,525.332763671875,16.122451782226562,523.8717651367188,545.6663757324219,553.3600952148437,591.2408447265625,475.16009521484375
0.84,0.26,147,123,38,500,528.7007446289062,16.81842041015625,527.6664733886719,551.8005249023438,561.3595550537109,578.001220703125,486.963134765625
0.86,0.26,147,126,38,500,533.78369140625,16.120450973510742,532.7196350097656,554.9622619628906,562.3458038330078,606.0277709960938,475.9333190917969
0.88,0.26,147,129,38,500,540.458251953125,16.733888626098633,539.3764038085938,564.1751281738282,570.8569091796875,605.7697143554688,500.13189697265625
0.9,0.26,147,132,38,500,545.1265258789062,16.236791610717773,544.2859191894531,565.7305114746093,573.4504516601562,594.3272094726562,505.0033264160156
0.92,0.26,147,135,38,500,550.7516479492188,17.962404251098633,549.7534484863281,572.9885986328125,580.9055328369141,630.21044921875,500.504638671875
0.9400000000000001,0.26,147,138,38,500,556.6558837890625,17.40325164794922,554.8409423828125,579.3764587402344,586.1054901123047,609.5894165039062,519.8353271484375
0.96,0.26,147,141,38,500,561.6594848632812,16.890762329101562,561.088134765625,583.6619812011719,588.7940063476562,614.3864135742188,511.8656921386719
0.98,0.26,147,144,38,500,567.7120971679688,17.052778244018555,566.3299865722656,590.5168884277344,598.2238830566406,624.1961059570312,523.4696044921875
