Dwelling ID,Technology,Capacity kW,Flat,Time-of-use,HP Heat Proportion (Flat),HP Heat Proportion (Time-of-use),R(K/W),C(J/K),g(m^2),HTC (1/R),Thermal Constant (R*C),Peak Demand Reduction (Flat -> Time-of-use) [kWh]
EOH0244,HHP,4.0,3.425,0.0,0.9231884057971015,0.8152555195668045,0.0049703937528088,46212493.250532046,1.0491066118562815,201.19130389516806,229694.2877541633,3.425
EOH0245,HHP,4.0,2.659,0.0,1.0,1.0,0.0073857748709736,21826327.196307626,5.22794773573167,135.39540772222034,161204.33893213654,2.659
EOH0248,HHP,4.0,3.05,0.0,1.0,0.9356240981903227,0.0059492759387812,56037794.3018795,1.37634343720707,168.08768164229164,333384.301302542,3.05
EOH0254,HHP,4.0,2.185,0.0,1.0,1.0,0.0107788661919266,23944697.865200445,2.946203484920602,92.77413618410095,258096.6942951061,2.185
EOH0256,HHP,4.0,2.243,0.0,1.0,1.0,0.0101243492249586,100278546.3320949,5.154624777910998,98.77178056390969,1015255.02283732,2.243
EOH0258,HHP,4.0,2.863,0.0,0.9940595705659028,0.987669761069644,0.0065166540093639,20784709.67758609,5.57605122857841,153.45298347327963,135446.76165390603,2.863
EOH0276,HHP,4.0,2.747,0.0,1.0,1.0,0.0070333896200084,39443740.19648615,3.1413623808895834,142.1789569506041,277423.1928722738,2.747
EOH0277,HHP,4.0,3.429,0.0,0.4829533973389695,0.4125040537581146,0.0022550285340648,176450895.73973802,16.255011194876108,443.4533687240981,397901.80475440226,3.429
EOH0279,HHP,4.0,3.429,0.0,0.9000502653685856,0.8210328314840784,0.0046586711440233,46364824.663355365,6.066492898103431,214.6534857440881,215998.47075687346,3.429
EOH0283,HHP,4.0,3.429,0.0,0.8400123318048855,0.6913638051160151,0.0041055570429433,171917743.6885799,1.0017151441655354e-06,243.5723068855703,705818.1034075703,3.429
EOH0286,HHP,4.0,3.429,0.0,0.9029583118453313,0.7876099320094019,0.0048405565469052,26881694.49544656,1.000028377899376e-06,206.58781491548692,130122.36228183932,3.429
EOH0290,HHP,4.0,3.367,0.0,0.9207243699797657,0.876418393779976,0.0050404191951438,26932753.936245088,7.21450854371059,198.39619707889605,135752.36991833447,3.367
EOH0295,HHP,4.0,2.24,0.0,1.0,1.0,0.0101566822150147,13039035.064543366,4.961109817036505,98.45734845594484,132433.33554100068,2.24
EOH0310,HHP,4.0,2.643,0.0,1.0,1.0,0.0075922060766859,67961458.40523162,1.001778673986953e-06,131.7140222353545,515977.3974846355,2.643
EOH0311,HHP,4.0,3.429,0.0,0.9111247029488211,0.7946407977117834,0.004907054041422,24218450.45538129,1.0005968192193095e-06,203.78825901624128,118841.24518405722,3.429
EOH0315,HHP,4.0,2.201,0.0,1.0,1.0,0.0107078876449519,17917374.467504706,1.0609063787725233,93.38910092799092,191857.23269057026,2.201
EOH0322,HHP,4.0,2.865,0.0,1.0,0.9932774978942517,0.0065618390581445,28775548.39962674,2.7600315071568167,152.39630096669444,188820.5174081982,2.865
EOH0324,HHP,4.0,2.523,0.0,1.0,1.0,0.0082516235378234,69132089.03844078,1.0008075082289976e-06,121.18827227348018,570451.973128501,2.523
EOH0332,HHP,4.0,1.947,0.0,1.0,1.0,0.0139831466501654,9812892.272047274,2.112624955996687,71.51466154352114,137215.11170231178,1.947
EOH0335,HHP,4.0,3.258,0.0,1.0,0.9565312501798965,0.0052572321670443,79664541.80345312,10.519022665451748,190.2141598898068,418814.99174195906,3.258
EOH0351,HHP,4.0,3.429,0.0,0.635322296999789,0.5426667816703789,0.0031090567917091,117127576.46757036,6.339490537994123,321.6409564041072,364156.2871129266,3.429
EOH0354,HHP,4.0,2.602,0.0,1.0,1.0,0.007640619304962,38587258.80883751,6.596331680846816,130.87944315594632,294830.55458036886,2.602
EOH0355,HHP,4.0,3.429,0.0,0.893052216510919,0.7704392266057005,0.0049025203499644,21679451.73125,1.0023329785760871e-06,203.9767157738084,106283.95328852406,3.429
EOH0358,HHP,4.0,2.507,0.0,1.0,1.0,0.0083493041632988,101579891.15713304,1.0000446380706704e-06,119.77045996188755,848121.4081456899,2.507
