Dwelling ID,Device(HHP/mHP+capacity),Tariff Type,Weather(mild/extreme),Peak Electricity Consumption (Feb 11) 1600-1900,Total Electricity Consumption (Feb10-12),Total gas Consumption (Feb10-12),R(K/W),C(J/K),g(m^2)
EOH0495,HHP 4 kW,Time-of-use,mild,0.0,70.286,100.139,0.0030598056230848,104601839.98598003,9.09906241391165
EOH0505,HHP 4 kW,Time-of-use,mild,0.0,48.541,0.222,0.0053555710489565,42194035.049765125,11.351424606736671
EOH0516,HHP 4 kW,Time-of-use,mild,0.0,62.966,13.381,0.0048609312762617,68312155.26845944,1.003564264087118e-06
EOH0517,HHP 4 kW,Time-of-use,mild,0.0,25.343,0.0,0.010798580875338,80888438.53086482,3.727746864839069
EOH0524,HHP 4 kW,Time-of-use,mild,0.0,34.51,0.0,0.0094576873653407,28691497.976681665,0.7811219738715838
EOH0525,HHP 4 kW,Time-of-use,mild,0.0,51.626,0.0,0.0061043645498422,24113760.146825843,1.8208901273752416
EOH0530,HHP 4 kW,Time-of-use,mild,0.0,62.998,33.332,0.0037258772917614,73375299.99904533,14.155743557299724
EOH0534,HHP 4 kW,Time-of-use,mild,0.0,70.286,96.076,0.0028759457477216,194929896.58451605,16.639920792914445
EOH0539,HHP 4 kW,Time-of-use,mild,0.0,33.656,0.0,0.0080320701220029,69272814.15347712,6.989622243373481
EOH0546,HHP 4 kW,Time-of-use,mild,0.0,48.974,0.0,0.0051962875435327,122249108.60842398,12.678438051053098
EOH0559,HHP 4 kW,Time-of-use,mild,0.0,18.887,0.0,0.0162385607334871,15682760.460007029,0.5320976733916729
EOH0565,HHP 4 kW,Time-of-use,mild,0.0,67.587,42.823,0.0039929215522858,81609442.8399781,3.045903514613705
EOH0567,HHP 4 kW,Time-of-use,mild,0.0,62.017,1.582,0.004946027349057,94753235.0963078,2.866226059913584
EOH0570,HHP 4 kW,Time-of-use,mild,0.0,36.714,0.0,0.0089266672822394,32169475.677869845,1.0001987725106831e-06
EOH0571,HHP 4 kW,Time-of-use,mild,0.0,48.826,0.0,0.0046397316275653,204031406.3595179,19.5083455925175
EOH0575,HHP 4 kW,Time-of-use,mild,0.0,53.563,0.0,0.0057043700916753,52373660.7811647,3.3071033080203245
EOH0576,HHP 4 kW,Time-of-use,mild,0.0,15.53,0.0,0.0166310846798986,24166372.08646543,3.3222989653454262
EOH0577,HHP 4 kW,Time-of-use,mild,0.0,45.594,0.0,0.0058114489836193,30885297.340018656,9.635982154329698
EOH0578,HHP 4 kW,Time-of-use,mild,0.0,42.055,0.0,0.0077433469705816,38038058.05197397,1.0016138762019185e-06
EOH0582,HHP 4 kW,Time-of-use,mild,0.0,44.167,0.0,0.0068300439576336,24779531.710060906,3.2445640980674533
EOH0603,HHP 4 kW,Time-of-use,mild,0.0,65.198,34.511,0.0043535895997091,85407234.7627014,1.0016777262797616e-06
EOH0616,HHP 4 kW,Time-of-use,mild,0.0,70.286,283.562,0.002238260648859,136395203.82131934,1.0045752168179267e-06
EOH0618,HHP 4 kW,Time-of-use,mild,0.0,65.131,33.254,0.0043796355766706,56963795.62525564,1.003366257359371e-06
EOH0630,HHP 4 kW,Time-of-use,mild,0.0,42.399,0.0,0.0076816953431791,35994913.07533688,1.0009310029569677e-06
EOH0643,HHP 4 kW,Time-of-use,mild,0.0,47.469,2.704,0.0063084928120257,18315061.07152043,3.18060468844347
EOH0645,HHP 4 kW,Time-of-use,mild,0.0,43.535,0.0,0.0059926458641268,68410730.56762114,9.932297155193083
EOH0648,HHP 4 kW,Time-of-use,mild,0.0,67.947,44.971,0.0035804416671317,73943949.33759406,10.282706694629026
EOH0651,HHP 4 kW,Time-of-use,mild,0.0,48.334,14.138,0.0037976731230041,53631532.48872591,29.999999895561512
EOH0652,HHP 4 kW,Time-of-use,mild,0.0,63.443,13.506,0.004565720599784,112771038.5955604,3.506045798378614
EOH0653,HHP 4 kW,Time-of-use,mild,0.0,20.514,0.0,0.0153606904307347,27228835.03336125,1.0001566774609802e-06
EOH0655,HHP 4 kW,Time-of-use,mild,0.0,45.455,0.0,0.0054860440321134,139945643.4747731,12.838542053577743
EOH0663,HHP 4 kW,Time-of-use,mild,0.0,42.647,0.0,0.0076700209637859,16932493.464265894,1.0000216751563273e-06
EOH0667,HHP 4 kW,Time-of-use,mild,0.0,70.286,504.475,0.0013553343948209,77914590.3912302,29.9999999973202
EOH0668,HHP 4 kW,Time-of-use,mild,0.0,65.172,33.479,0.0043743485794485,52931126.20542581,1.0011290813155922e-06
EOH0669,HHP 4 kW,Time-of-use,mild,0.0,61.835,12.228,0.0050171690334775,28192342.590722032,0.2895276339022765
EOH0683,HHP 4 kW,Time-of-use,mild,0.0,70.286,122.782,0.0028853776753854,50425877.50689952,8.895736468565667
EOH0687,HHP 4 kW,Time-of-use,mild,0.0,55.062,0.0,0.0059568052415552,27185522.03799993,1.0007018695150097e-06
EOH0690,HHP 4 kW,Time-of-use,mild,0.0,59.451,6.303,0.0041569519371898,70617531.16329417,15.062291648038116
EOH0697,HHP 4 kW,Time-of-use,mild,0.0,46.547,0.0,0.0069815541705493,117559946.68480933,1.0021173474182304e-06
EOH0699,HHP 4 kW,Time-of-use,mild,0.0,41.849,11.38,0.0067011795598252,11627786.186552132,2.783307332946187
EOH0702,HHP 4 kW,Time-of-use,mild,0.0,43.881,0.0,0.0071197989064387,88357225.65923177,1.6320090187102947
EOH0728,HHP 4 kW,Time-of-use,mild,0.0,58.07,9.563,0.0034033205642317,101577322.3519494,29.99999999893656
EOH0732,HHP 4 kW,Time-of-use,mild,0.0,56.641,11.708,0.0044805821203023,55266732.26260284,11.548185341114747
EOH0737,HHP 4 kW,Time-of-use,mild,0.0,57.319,2.133,0.0051744060579913,39380951.616615705,4.927220035237754
EOH0745,HHP 4 kW,Time-of-use,mild,0.0,52.022,29.65,0.0051591972693953,15165364.703988686,1.902276857243654
EOH0746,HHP 4 kW,Time-of-use,mild,0.0,19.742,0.0,0.0131903795168077,19843600.51776418,3.5420575051331147
EOH0749,HHP 4 kW,Time-of-use,mild,0.0,64.752,30.955,0.0044322210482481,203988700.1069644,1.0005142296170754e-06
EOH0764,HHP 4 kW,Time-of-use,mild,0.0,49.376,0.0,0.0065286235920648,88977450.81428744,0.4033841334215728
EOH0766,HHP 4 kW,Time-of-use,mild,0.0,42.253,0.0,0.007721072337142,24730231.834031377,1.0199539955351352e-06
EOH0769,HHP 4 kW,Time-of-use,mild,0.0,65.172,32.023,0.0043730376134696,36794328.01698725,0.4632511008612851
EOH0788,HHP 4 kW,Time-of-use,mild,0.0,42.747,0.0,0.0068046088827414,59142876.50974536,4.647488447512791
EOH0789,HHP 4 kW,Time-of-use,mild,0.0,70.286,142.082,0.0030203190678801,123723448.19030294,1.0001770354880926e-06
EOH0791,HHP 4 kW,Time-of-use,mild,0.0,62.146,5.233,0.0050619516339547,127684049.17077102,0.1073969831412292
EOH0793,HHP 4 kW,Time-of-use,mild,0.0,48.308,0.0,0.0066906256303578,43127849.246370815,0.34877924769285
EOH0808,HHP 4 kW,Time-of-use,mild,0.0,35.069,0.0,0.0082151886062715,14959720.30672107,4.536721996027406
EOH0810,HHP 4 kW,Time-of-use,mild,0.0,63.754,27.117,0.0039093742875844,41442735.93478372,11.386320762610552
EOH0813,HHP 4 kW,Time-of-use,mild,0.0,40.857,0.0,0.0046770776547835,174757328.5807787,25.57386240289412
