run,total_gas_kwh,n_steps,run_optimal,running_mean_total_gas_kwh,running_std_total_gas_kwh
144,21801.19842936143,17520,True,21760.523042779983,71.19120579739592
145,21623.906243133308,17520,True,21759.580857954836,71.84055489024064
146,21882.32660144812,17520,True,21760.421582225335,72.30632111220307
147,21785.077969517984,17520,True,21760.589312751137,72.08845645424879
148,21773.886969122806,17520,True,21760.679161780674,71.85275998173837
149,21760.44536144056,17520,True,21760.677592650874,71.61123996037715
150,21909.613664036915,17520,True,21761.67049979345,72.39389280326479
151,21677.71421859849,17520,True,21761.11449793123,72.474399891518
152,21823.904173767107,17520,True,21761.527587903835,72.41373907291579
153,21793.751447150822,17520,True,21761.738201362965,72.22339755029864
154,21685.705821662377,17520,True,21761.244484611663,72.24709201089945
155,21818.731682440924,17520,True,21761.61536975895,72.16059024449517
156,21634.458828849252,17520,True,21760.800263727477,72.64126429470332
157,21747.230614525695,17520,True,21760.713832840844,72.41759973482999
158,21766.834883798085,17520,True,21760.752573669684,72.18969841708366
159,21723.607731667133,17520,True,21760.51895831118,72.02221729956746
160,21773.22304231264,17520,True,21760.59835883619,71.80377561512734
161,21814.831790253724,17520,True,21760.935212447475,71.70714021335877
162,21672.862206612062,17520,True,21760.39155191763,71.81754659002
163,21721.57591251358,17520,True,21760.153419160546,71.66103450867342
164,21637.685760701446,17520,True,21759.406665145554,72.07556182576201
165,21750.38941299369,17520,True,21759.35201513251,71.86022722991585
166,21739.73200487344,17520,True,21759.233822299626,71.65953842929228
167,21757.866045594805,17520,True,21759.225632019956,71.44474469603834
168,21657.071439608422,17520,True,21758.617571350842,71.66390101429538
169,21645.353465804696,17520,True,21757.947369542875,71.97768058230554
170,21722.264443453343,17520,True,21757.73746997764,71.81752613489019
171,21729.743890651527,17520,True,21757.573764835382,71.63903008597214
172,21806.207367876614,17520,True,21757.856518341436,71.526106554305
173,21614.783857651597,17520,True,21757.029508742075,72.13910365645538
174,21763.59544800413,17520,True,21757.06724402519,71.93322101130049
175,21769.792015781575,17520,True,21757.139957006657,71.7338157420774
176,21837.419296639477,17520,True,21757.596089618204,71.78379432633062
177,21713.8849072826,17520,True,21757.3491337858,71.6556652929374
178,21816.32849708165,17520,True,21757.680478523416,71.58995308138267
179,21788.36830394399,17520,True,21757.851918888893,71.426333794844
180,21747.114927499475,17520,True,21757.792268936733,71.23212173555262
181,21723.904959271953,17520,True,21757.6050462314,71.079472109973
182,21734.69533242312,17520,True,21757.479168683003,70.90415704506778
183,21831.065303474614,17520,True,21757.88127870919,70.91794827859883
184,21751.481427665036,17520,True,21757.846496910035,70.72653903175377
185,21663.23168483741,17520,True,21757.335065493426,70.87546539944015
186,21880.40705602418,17520,True,21757.996742861873,71.25531959338166
187,21699.086835593247,17520,True,21757.681716619794,71.19429786597705
188,21796.17042753838,17520,True,21757.88644380553,71.05986935947179
189,21713.716834186365,17520,True,21757.652742167335,70.94403406353065
190,21733.17309014973,17520,True,21757.523901893557,70.77925943523407
191,21781.576359248516,17520,True,21757.649830989656,70.61506778155696
192,21734.857331281073,17520,True,21757.531120053674,70.45003998485612
193,21771.053465128083,17520,True,21757.601184017793,70.27399625528822
194,21787.407150030645,17520,True,21757.754823017855,70.12513426272982
195,21734.76835723787,17520,True,21757.636943706162,69.96436280840412
196,21738.4152610795,17520,True,21757.538873896843,69.7990899719023
197,21708.400537522633,17520,True,21757.28944071728,69.70923147496873
198,21710.928540892353,17520,True,21757.05529475857,69.61059573078259
199,21739.484608676088,17520,True,21756.96699985363,69.44658896769154
200,21643.505206910075,17520,True,21756.399690888917,69.73349717660528
