ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.1,0.62,0.08,0.3,True,147,15,91,12,44,500,189.3429412841797,5.557765007019043,189.08324432373047,196.228173828125,199.05931320190427,212.9730682373047,172.03607177734375
0.1,0.62,0.1,0.28,True,147,15,91,15,41,500,194.54466247558594,5.675952434539795,194.03617095947266,202.011474609375,203.9998565673828,218.4608917236328,178.91360473632812
0.1,0.62,0.12,0.26,True,147,15,91,18,38,500,200.04440307617188,5.984838962554932,199.9562530517578,207.99732360839843,210.29888916015625,225.21383666992188,183.31454467773438
0.1,0.62,0.14,0.24,True,147,15,91,21,35,500,205.6104278564453,5.823169231414795,205.64028930664062,212.75382080078126,215.70379867553712,222.9176025390625,191.6935272216797
0.1,0.62,0.16,0.22,True,147,15,91,24,32,500,211.28929138183594,5.703378677368164,211.19744110107422,218.9715316772461,221.45230102539062,225.5906982421875,195.51820373535156
0.1,0.62,0.18,0.2,True,147,15,91,26,30,500,214.8765869140625,6.012231349945068,214.6781997680664,222.59056549072267,225.81420135498047,234.10345458984375,200.02650451660156
0.1,0.62,0.2,0.18,True,147,15,91,29,27,500,221.4698944091797,6.142927169799805,221.1034927368164,229.20166625976563,232.3757209777832,244.07305908203125,200.04173278808594
0.1,0.62,0.22,0.16,True,147,15,91,32,24,500,227.3255615234375,5.994626522064209,227.0838851928711,235.27823028564453,237.62283630371093,249.339599609375,212.220458984375
0.1,0.62,0.24,0.14,True,147,15,91,35,21,500,233.4227752685547,6.171624183654785,233.17645263671875,241.77176055908203,244.29775619506833,254.27096557617188,216.0411376953125
0.1,0.62,0.26,0.12,True,147,15,91,38,18,500,238.39955139160156,6.473516464233398,238.13995361328125,246.8234634399414,248.86323776245118,261.95416259765625,223.7718505859375
0.1,0.62,0.28,0.09999999999999998,True,147,15,91,41,15,500,244.82928466796875,6.134446620941162,244.45989227294922,252.9736557006836,255.22876358032227,263.0191345214844,226.83900451660156
0.1,0.62,0.3,0.08000000000000002,True,147,15,91,44,12,500,251.376220703125,6.692904472351074,251.02413177490234,260.5050750732422,262.7381759643555,273.1200866699219,233.847412109375
0.1,0.62,0.32,0.06,True,147,15,91,47,9,500,256.7943420410156,6.3325724601745605,256.3512420654297,265.2073516845703,267.722509765625,277.8498229980469,236.151123046875
0.1,0.62,0.34,0.03999999999999998,True,147,15,91,50,6,500,263.4232482910156,6.750031471252441,263.4093017578125,272.6025146484375,274.957746887207,285.3211669921875,243.8643035888672
0.1,0.62,0.36,0.020000000000000018,True,147,15,91,53,3,500,268.84930419921875,6.912337779998779,268.6003723144531,277.4454620361328,280.90065002441406,290.0621032714844,248.6105499267578
0.1,0.62,0.38,0.0,True,147,15,91,56,0,500,274.8321533203125,6.796942710876465,274.5976104736328,283.9309814453125,286.41619567871095,297.67926025390625,254.93154907226562
0.1,0.64,0.0,0.36,True,147,15,94,0,53,500,172.06861877441406,5.841960430145264,171.59742736816406,179.57049713134765,182.15662841796873,192.54800415039062,158.63365173339844
0.1,0.64,0.02,0.33999999999999997,True,147,15,94,3,50,500,176.18487548828125,5.4258551597595215,175.78004455566406,183.30736389160157,185.8052978515625,192.22769165039062,161.7601318359375
0.1,0.64,0.04,0.32,True,147,15,94,6,47,500,181.86900329589844,5.857245445251465,181.4710464477539,188.83773193359374,192.6482955932617,207.37823486328125,166.45126342773438
0.1,0.64,0.06,0.3,True,147,15,94,9,44,500,186.6812286376953,5.89529275894165,186.12569427490234,194.8305450439453,196.51919555664062,211.9099884033203,170.03744506835938
0.1,0.64,0.08,0.27999999999999997,True,147,15,94,12,41,500,191.94219970703125,5.909974575042725,191.66609954833984,199.26356506347656,202.32317352294922,212.0177001953125,177.9514617919922
0.1,0.64,0.1,0.26,True,147,15,94,15,38,500,197.6265869140625,5.380631923675537,197.3695526123047,204.59746398925782,207.41580505371093,216.12062072753906,179.1752471923828
0.1,0.64,0.12,0.24,True,147,15,94,18,35,500,203.1811981201172,5.501367092132568,202.65270233154297,210.34268188476562,212.74225158691405,220.5733184814453,188.1540985107422
0.1,0.64,0.14,0.21999999999999997,True,147,15,94,21,32,500,209.08456420898438,5.923757076263428,208.71755981445312,216.06539764404297,218.92069091796873,231.9692840576172,194.6366424560547
0.1,0.64,0.16,0.19999999999999998,True,147,15,94,24,29,500,214.6851806640625,5.997684478759766,214.21346282958984,222.3250946044922,225.6010986328125,232.90634155273438,197.67344665527344
0.1,0.64,0.18,0.18,True,147,15,94,26,27,500,219.24215698242188,6.4559502601623535,218.75690460205078,227.05304870605468,230.5718711853027,241.6968536376953,202.03555297851562
0.1,0.64,0.2,0.15999999999999998,True,147,15,94,29,24,500,224.60093688964844,5.938340187072754,224.4034652709961,232.61868743896486,233.91205825805665,242.0096893310547,205.49822998046875
0.1,0.64,0.22,0.13999999999999999,True,147,15,94,32,21,500,230.27877807617188,6.13649845123291,229.92484283447266,238.79018859863282,240.78110580444334,251.55906677246094,210.4214324951172
0.1,0.64,0.24,0.12,True,147,15,94,35,18,500,236.15560913085938,6.34558629989624,235.81126403808594,244.35745544433593,246.50978469848633,262.64752197265625,219.68336486816406
0.1,0.64,0.26,0.09999999999999998,True,147,15,94,38,15,500,242.5359649658203,6.0194597244262695,242.1027603149414,249.97213134765624,254.42913436889648,260.9826354980469,223.89002990722656
0.1,0.64,0.28,0.07999999999999996,True,147,15,94,41,12,500,248.16650390625,6.309848785400391,247.93224334716797,256.36293029785156,258.18941192626954,270.78863525390625,228.34861755371094
0.1,0.64,0.3,0.06,True,147,15,94,44,9,500,254.87181091308594,6.264814376831055,254.54108428955078,262.6390625,265.71253356933596,281.9429626464844,234.4684600830078
0.1,0.64,0.32,0.03999999999999998,True,147,15,94,47,6,500,260.1807556152344,6.393261432647705,259.8879699707031,268.62636413574216,271.0326782226563,285.4459228515625,245.58529663085938
0.1,0.64,0.34,0.019999999999999962,True,147,15,94,50,3,500,266.1535949707031,6.522735595703125,265.6917266845703,275.06251831054686,277.22572021484376,285.0321350097656,249.7445068359375
0.1,0.64,0.36,0.0,True,147,15,94,53,0,500,272.255615234375,7.074037551879883,272.53858947753906,281.5820251464844,284.1194412231445,297.380126953125,255.10894775390625
