case_index,case_label,peak_demand_kw,segment_id,point_index,path_distance_pct_points,mhp_share_pct,hhp_share_pct,boiler_share_pct,baseline_annual_co2_mean_kg,annual_co2_mean_kg,carbon_saving_kg,carbon_saving_pct,peak_result_csv,co2_result_csv,segment_count_before_selection,segment_selection_method,segment_selection_score_kg
1,10% EV,375.0,1,1,3.7805264089777726,98.40463654274346,0.0,1.5953634572565392,292997.63318918104,4419.338247134758,288578.2949420463,98.49168124703543,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_10_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,1,highest_mean_carbon_saving,288578.2949420463
2,40% EV,236.25,1,0,0.0,0.0,30.81575288756218,69.18424711243782,292997.63318918104,226806.83672467526,66190.79646450578,22.59089800284089,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,1,0.911255770452746,0.4061210479861799,30.0,69.59387895201382,292997.63318918104,227403.30782894304,65594.325360238,22.38732260266602,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,2,6.915778633279089,5.0,26.133403177929114,68.86659682207089,292997.63318918104,223061.95955500798,69935.67363417306,23.86902340232127,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,3,8.18271403027385,5.566147097862788,25.0,69.43385290213722,292997.63318918104,223603.87973023686,69393.75345894418,23.68406621705999,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,4,13.185267747487288,5.4063231522038295,20.0,74.59367684779617,292997.63318918104,235476.80187305575,57520.83131612529,19.631841626169578,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,5,18.553161677104562,7.359342670698711,15.0,77.64065732930129,292997.63318918104,239251.66461624383,53745.968572937214,18.343482159883123,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,6,21.686340245120704,10.0,13.313661715941,76.686338284059,292997.63318918104,234359.99383381894,58637.6393553621,20.01300785849737,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,7,25.811655291703747,12.45720781902374,10.0,77.54279218097626,292997.63318918104,234109.3721550595,58888.26103412153,20.09854495858637,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
2,40% EV,236.25,1,8,30.236375068821843,15.0,6.378901681756487,78.62109831824351,292997.63318918104,236301.18286395806,56696.45032522298,19.350480653410443,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_40_HHPvsMHP_5per_500runperpixel.csv,E:\Github\LV-network\Output Data\Penetration Sweep\evconst_hhp_mhp_boiler_annual_gas_co2.csv,2,highest_mean_carbon_saving,60450.410198905694
