case_folder,tariff_type,case,ev_charge_max_kw,offset_max_hours,n_dwelling_files,n_runs,step_hours,n_runs_seen_raw_sum_over_dwellings,n_infeasible_runs_raw_sum_over_dwellings,n_infeasible_runs_replaced_sum_over_dwellings,n_dwellings_with_no_feasible_runs,mean_aggregated_hp_electricity_kwh,mean_aggregated_ev_electricity_kwh,mean_aggregated_baseload_electricity_kwh,mean_aggregated_electricity_kwh,mean_aggregated_gas_kwh,peak_extreme_demand_kw,peak_mean_demand_kw,peak_extreme_demand_ci95_low_kw,peak_extreme_demand_ci95_high_kw,peak_mean_demand_ci95_low_kw,peak_mean_demand_ci95_high_kw,total_hp_electricity_cost_gbp_unoffset_tariff,total_hp_electricity_cost_ci95_low_gbp,total_hp_electricity_cost_ci95_high_gbp,total_ev_electricity_cost_gbp_unoffset_tariff,total_ev_electricity_cost_ci95_low_gbp,total_ev_electricity_cost_ci95_high_gbp,total_baseload_electricity_cost_gbp_unoffset_tariff,total_baseload_electricity_cost_ci95_low_gbp,total_baseload_electricity_cost_ci95_high_gbp,total_electricity_cost_gbp_unoffset_tariff,total_gas_cost_gbp_unoffset_tariff,total_gas_cost_ci95_low_gbp,total_gas_cost_ci95_high_gbp,total_energy_cost_gbp_unoffset_tariff,total_energy_cost_ci95_low_gbp,total_energy_cost_ci95_high_gbp,ci95_bootstrap_samples
agile_monovalent_EV_5kW_offset0p5h,agile,monovalent,5.0,0.5,147,10,0.5,1470,22,22,0,22606.223984513737,7052.449378369999,9739.520448069445,39398.193810953184,0.0,1041.0496910702966,990.6683058613161,1041.0496910702966,1041.0496910702966,955.3420314326156,1032.5672088648976,2557.516470859384,2550.098500939142,2567.8815197369245,671.106189600604,644.1926531518435,694.7716076367724,1622.1789125758974,1577.9645553532876,1667.3739735872766,4850.801573035885,0.0,0.0,0.0,4850.801573035885,4794.175180932517,4900.462568586747,100
agile_monovalent_EV_5kW_offset1p0h,agile,monovalent,5.0,1.0,147,10,0.5,1470,22,22,0,22593.525658004328,7048.4072104103625,9742.584838349536,39384.51770676422,0.0,888.3813967466086,848.4266845101473,888.3813967466086,888.3813967466086,813.5103147278713,883.8360242144645,2619.6584848910798,2608.8187397350625,2630.8465032989116,676.6726538593398,658.2677487262031,695.1567749035486,1623.03674915833,1567.284231783263,1677.1387936366,4919.367887908749,0.0,0.0,0.0,4919.367887908749,4868.5825627453505,4967.411414964191,100
agile_monovalent_EV_5kW_offset2p0h,agile,monovalent,5.0,2.0,147,10,0.5,1470,22,22,0,22561.11630580829,7051.105954082258,9754.996629016203,39367.218888906755,0.0,710.4920199437471,666.2006502736306,710.4920199437471,710.4920199437471,641.6178607851327,699.2334632186067,2754.495736714128,2739.3799300274973,2771.898334396075,705.3173101908261,686.6520935770676,731.8754657187226,1622.883796713213,1568.8763500981222,1666.169557514656,5082.696843618166,0.0,0.0,0.0,5082.696843618167,5029.046495656575,5122.908050965821,100
agile_monovalent_EV_5kW_offset3p0h,agile,monovalent,5.0,3.0,147,10,0.5,1470,22,22,0,22511.531456688277,7069.17347795527,9758.729708185183,39339.43464282873,0.0,698.415566959039,640.7877614925817,698.415566959039,698.415566959039,607.9018177430364,686.7955796175075,2870.9022578055246,2854.7422514913883,2886.3117826121666,733.5070473345182,710.8106653245788,759.6846494848077,1625.7773776110148,1574.9972077878645,1667.368688639097,5230.1866827510585,0.0,0.0,0.0,5230.1866827510585,5184.050006688516,5274.807997496818,100
agile_monovalent_EV_5kW_offset4p0h,agile,monovalent,5.0,4.0,147,10,0.5,1470,22,22,0,22461.816181120124,7062.274804574751,9755.759521291666,39279.85050698654,0.0,654.7898059935974,603.0281197078416,654.7898059935974,654.7898059935974,574.645960481623,647.7742499772684,2944.0172136954734,2927.165876974375,2960.700384093389,750.6776012462497,730.935583136221,774.9784523375992,1625.0035412268358,1576.6487149192062,1675.2600250598914,5319.698356168559,0.0,0.0,0.0,5319.698356168559,5263.4321297868855,5371.11953314836,100
agile_monovalent_EV_5kW_offset5p0h,agile,monovalent,5.0,5.0,147,10,0.5,1470,22,22,0,22427.14130058709,7044.199973425664,9766.428234023148,39237.769508035904,0.0,619.3080610795083,567.2288056495112,619.3080610795083,619.3080610795083,532.2140797317273,610.8358904652433,2994.5195993756406,2976.1346071069956,3014.615866511351,763.3970556426569,742.113276382023,785.3518723114319,1626.0537020210145,1575.1214694888847,1676.8809913789255,5383.970357039311,0.0,0.0,0.0,5383.970357039311,5325.227428583432,5440.6438905568375,100
agile_monovalent_EV_5kW_offset6p0h,agile,monovalent,5.0,6.0,147,10,0.5,1470,22,22,0,22386.308684065967,7039.910635977649,9753.65884803472,39179.878168078336,0.0,610.8771320648182,539.2267859037944,610.8771320648182,610.8771320648182,501.2269059945656,587.1237206579517,3027.0034024251213,3005.324597803826,3049.837180898379,775.9705586750913,752.213606565806,797.5019045382828,1625.3139238895574,1583.9992911854024,1662.291445633496,5428.28788498977,0.0,0.0,0.0,5428.28788498977,5382.268318262701,5482.887169243703,100
agile_monovalent_EV_5kW_offset7p0h,agile,monovalent,5.0,7.0,147,10,0.5,1470,22,22,0,22357.54718158827,7023.242417378431,9789.458865930555,39170.24846489726,0.0,569.076305733438,520.3137849940169,569.076305733438,569.076305733438,496.2584837053214,551.9618313805909,3044.109264836052,3024.458167311534,3062.3995536514212,792.3433766372566,766.0153618716712,823.1599839255206,1629.6914331760436,1580.5400049667671,1677.1383804605007,5466.144074649351,0.0,0.0,0.0,5466.144074649351,5404.46988716432,5517.312738657418,100
agile_monovalent_EV_5kW_offset8p0h,agile,monovalent,5.0,8.0,147,10,0.5,1470,22,22,0,22336.85908487937,7054.03830820876,9756.18730829861,39147.084701386746,0.0,614.1895209714448,551.5359815815733,614.1895209714448,614.1895209714448,517.663598330987,586.8788613778124,3045.3384266800595,3026.4502649204574,3068.778588646424,810.412314926921,778.3342108680025,833.2212695896645,1625.0756196093716,1580.9962198606331,1681.1215776899974,5480.826361216352,0.0,0.0,0.0,5480.82636121635,5423.061703281564,5542.680334856148,100
agile_monovalent_EV_5kW_offset9p0h,agile,monovalent,5.0,9.0,147,10,0.5,1470,22,22,0,22328.861317469826,7044.953258681398,9709.939905145833,39083.75448129706,0.0,608.024221880225,566.8110665619121,608.024221880225,608.024221880225,532.1444170085056,600.8317690840129,3038.86318780551,3021.1155279117825,3057.049652257371,817.7638602972365,791.7986239714802,845.3033098287875,1617.4978832463285,1564.4253943132742,1675.2965557237874,5474.124931349075,0.0,0.0,0.0,5474.124931349074,5414.935021078089,5533.581842507566,100
